tests,Environment,debit_mean,debit_std,debit_var,avg_mean,avg_std,avg_var
Rand_Read,Crio-runc,15.978875,2.0752656682338277,4.306727593749996,49.92157,8.080129998516938,65.28850079293332
Rand_Write,Crio-runc,9.511458333333334,1.3066449634145716,1.7073210604166669,38.0875675,9.989257628814313,99.78526797482495
Seq_Read,Crio-runc,62.0875,4.393624642592945,19.303937499999982,18430.0,284.5241641759092,80953.99999999975
Seq_Write,Crio-runc,53.56666666666666,6.072122089242499,36.870666666666686,17586.25,348.06644480616023,121150.24999999978
Rand_Read,Docker-crun,16.983333333333334,2.194006988746085,4.813666666666663,36.46013285714286,6.309642877880686,39.811593246390466
Rand_Write,Docker-crun,9.698166666666667,0.7923399312584635,0.6278025666666667,25.42508,4.044019450493118,16.35409331596666
Seq_Read,Docker-crun,70.60000000000001,9.107798855925612,82.9519999999999,16992.571428571428,465.07234460273537,216292.28571428545
Seq_Write,Docker-crun,60.31666666666666,4.242365692236664,17.997666666666667,17783.0,780.1266991115397,608597.6666666667
Rand_Read,Docker-runc,18.9125,3.4576777921439867,11.955535714285714,37.4648875,2.1537673630079763,4.638713853958333
Rand_Write,Docker-runc,10.536125,1.2219129542881286,1.4930712678571425,21.614584999999998,2.5538967182523242,6.522388447499992
Seq_Read,Docker-runc,78.25625,12.992949667855585,168.81674107142857,16686.25,708.4397763160018,501886.9166666667
Seq_Write,Docker-runc,67.440625,13.388547461356668,179.25320312500006,17859.0,441.14018935783514,194604.66666666666
Rand_Read,Podman-crun,18.791666666666668,2.4125539717624287,5.820416666666669,40.925648,9.47753625458484,89.82369345697
Rand_Write,Podman-crun,10.616375,1.4774607757060758,2.1828903437499996,27.048778,5.239123502697757,27.448415076520014
Seq_Read,Podman-crun,71.64999999999999,3.8862578401336183,15.103000000000018,17121.8,625.7089579029537,391511.70000000024
Seq_Write,Podman-crun,56.30416666666667,5.553656828312918,30.8431041666667,18299.0,384.72587643671733,148014.0000000003
Rand_Read,Podman-runc,21.3,1.1640446726822813,1.3549999999999995,37.914214,3.101620463512584,9.620049499680016
Rand_Write,Podman-runc,11.692400000000001,1.910092353788162,3.648452800000001,25.173512,3.1431865880138257,9.879621927069996
Seq_Read,Podman-runc,78.53999999999999,9.450026454989429,89.30300000000005,17146.5,438.4263526142865,192217.66666666666
Seq_Write,Podman-runc,67.1,12.836081956734308,164.76500000000004,17423.5,813.0233698978153,661006.9999999999
